id,title,body,category,priority
211,Consegna in ritardo ordine 1081,L'ordine 1172 risulta ancora in lavorazione. A quando è prevista la spedizione?,Commerciale,media
212,Aggiornamento dati fiscali azienda,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
213,Mancato rimborso spese giugno,Solicito ricevuta di pagamento relativa alla transazione del 14/1/2024 per 670 euro.,Amministrazione,media
214,Offerta scaduta: rinnovo contratto,Quali sono le condizioni minime di fornitura per un ordine ricorrente mensile?,Commerciale,bassa
215,Promozione non applicata all'ordine,Siamo interessati ad acquistare 50 licenze. Potete inviarci un preventivo dettagliato?,Commerciale,media
216,Discrepanza importo in estratto conto,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,media
217,Malfunzionamento scanner documenti,"Il PC è lento nell'ultima settimana: avvio lungo, applicazioni bloccate, disco al 100%.",Tecnico,media
218,Malfunzionamento scanner documenti,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,bassa
219,PC lento e instabile,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,media
220,Malfunzionamento scanner documenti,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,bassa
221,Stampante di rete non raggiungibile,Alcuni file sul drive condiviso sono scomparsi. È urgente il ripristino dei dati.,Tecnico,alta
222,Impossibile accedere al portale interno,Il portale restituisce errore 403. Ho provato con più browser ma la situazione non cambia.,Tecnico,bassa
223,Discrepanza importo in estratto conto,La fattura 1191 risulta emessa due volte nel portale. Chiedo la cancellazione del duplicato.,Amministrazione,media
224,Richiesta ricevuta di pagamento,"Buongiorno, non ho ancora ricevuto la fattura relativa al mese di gennaio. Potete inviarla al più presto?",Amministrazione,bassa
225,Mancato rimborso spese settembre,Ho effettuato il pagamento il 20/12/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
226,Fattura duplicata aprile,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
227,Scadenza pagamento non ricevuta,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
228,Fattura duplicata agosto,Ho effettuato il pagamento il 22/11/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
229,Errore critico all'avvio dell'applicazione,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,alta
230,Domanda su condizioni di fornitura,L'ordine 1188 doveva arrivare il 28/1/2024 ma non è ancora stato consegnato. Verificate.,Commerciale,bassa
231,VPN aziendale non funzionante,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
232,Sollecito pagamento arretrato,La fattura 1102 risulta emessa due volte nel portale. Chiedo la cancellazione del duplicato.,Amministrazione,media
233,Email non inviate: errore SMTP,Il portale restituisce errore 403. Ho provato con più browser ma la situazione non cambia.,Tecnico,bassa
234,PC lento e instabile,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
235,Fattura duplicata luglio,Non ho ricevuto il promemoria di scadenza per la rata di aprile. Inviatemi le istruzioni di pagamento.,Amministrazione,media
236,Perdita dati su drive condiviso,"Il PC è lento nell'ultima settimana: avvio lungo, applicazioni bloccate, disco al 100%.",Tecnico,alta
237,Stampante di rete non raggiungibile,Le email non vengono inviate: errore 'Connessione SMTP rifiutata'. Riguarda tutti gli utenti.,Tecnico,media
238,Richiesta catalogo prodotti aggiornato,Devo modificare la quantità dell'ordine 1024 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
239,Errore critico all'avvio dell'applicazione,Lo scanner non viene riconosciuto dopo la sostituzione del cavo USB. Ho reinstallato i driver.,Tecnico,alta
240,Stampante di rete non raggiungibile,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
241,Scadenza pagamento non ricevuta,La fattura numero 1042 riporta un importo errato di 1200 euro invece di 120. Chiedo rettifica.,Amministrazione,bassa
242,Errore importo su fattura n. 1130,La fattura numero 1060 riporta un importo errato di 340 euro invece di 250. Chiedo rettifica.,Amministrazione,bassa
243,Richiesta referenze commerciali,Potete fornirmi alcune referenze commerciali di aziende che usano il vostro servizio?,Commerciale,bassa
244,Consegna in ritardo ordine 1001,L'ordine 1026 risulta ancora in lavorazione. A quando è prevista la spedizione?,Commerciale,media
245,Perdita dati su drive condiviso,Dopo l'aggiornamento di ieri il software è bloccato. Non riesco ad aprire nessuna funzione.,Tecnico,alta
246,Chiarimento su nota credito,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
247,Stampante di rete non raggiungibile,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,media
248,Discrepanza importo in estratto conto,Ho effettuato il pagamento il 20/2/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
249,Fattura duplicata febbraio,Solicito ricevuta di pagamento relativa alla transazione del 21/8/2024 per 750 euro.,Amministrazione,media
250,Richiesta catalogo prodotti aggiornato,L'ordine 1107 doveva arrivare il 26/2/2024 ma non è ancora stato consegnato. Verificate.,Commerciale,bassa
251,Richiesta fattura febbraio,Solicito ricevuta di pagamento relativa alla transazione del 28/2/2024 per 670 euro.,Amministrazione,bassa
252,Richiesta fattura maggio,Solicito ricevuta di pagamento relativa alla transazione del 6/2/2024 per 480 euro.,Amministrazione,bassa
253,Fattura duplicata luglio,La fattura numero 1103 riporta un importo errato di 2300 euro invece di 250. Chiedo rettifica.,Amministrazione,media
254,Discrepanza importo in estratto conto,Ho effettuato il pagamento il 10/3/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
255,Domanda su condizioni di fornitura,Vorrei ricevere il catalogo aggiornato con i nuovi prodotti del secondo semestre.,Commerciale,bassa
256,VPN aziendale non funzionante,Lo scanner non viene riconosciuto dopo la sostituzione del cavo USB. Ho reinstallato i driver.,Tecnico,alta
257,Stato dell'ordine n. 1093,L'ordine 1025 doveva arrivare il 11/3/2024 ma non è ancora stato consegnato. Verificate.,Commerciale,bassa
258,Discrepanza importo in estratto conto,La fattura numero 1137 riporta un importo errato di 1200 euro invece di 2300. Chiedo rettifica.,Amministrazione,media
259,PC lento e instabile,Le email non vengono inviate: errore 'Connessione SMTP rifiutata'. Riguarda tutti gli utenti.,Tecnico,media
260,Chiarimento su nota credito,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
261,Aggiornamento dati fiscali azienda,La fattura numero 1084 riporta un importo errato di 990 euro invece di 2300. Chiedo rettifica.,Amministrazione,bassa
262,Domanda su condizioni di fornitura,Devo modificare la quantità dell'ordine 1186 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
263,Sollecito pagamento arretrato,Ho effettuato il pagamento il 28/8/2024 ma non risulta registrato. Allego la contabile bancaria.,Amministrazione,media
264,Email non inviate: errore SMTP,Dopo l'aggiornamento di ieri il software è bloccato. Non riesco ad aprire nessuna funzione.,Tecnico,alta
265,Consegna in ritardo ordine 1124,Vorrei capire i vantaggi del piano Enterprise rispetto all'abbonamento Standard attuale.,Commerciale,media
266,Fattura duplicata aprile,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
267,Email non inviate: errore SMTP,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
268,Modifica quantità su ordine in corso,Vorrei ricevere il catalogo aggiornato con i nuovi prodotti del secondo semestre.,Commerciale,bassa
269,Email non inviate: errore SMTP,Il portale restituisce errore 403. Ho provato con più browser ma la situazione non cambia.,Tecnico,bassa
270,Modifica quantità su ordine in corso,Devo modificare la quantità dell'ordine 1024 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
271,Domanda su condizioni di fornitura,Quali sono le condizioni minime di fornitura per un ordine ricorrente mensile?,Commerciale,bassa
272,Richiesta referenze commerciali,L'ordine 1090 doveva arrivare il 9/5/2024 ma non è ancora stato consegnato. Verificate.,Commerciale,bassa
273,Modifica quantità su ordine in corso,Devo modificare la quantità dell'ordine 1004 da 10 a 25 unità. È ancora possibile?,Commerciale,bassa
274,Stato dell'ordine n. 1001,L'ordine 1022 risulta ancora in lavorazione. A quando è prevista la spedizione?,Commerciale,media
275,Malfunzionamento scanner documenti,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
276,Discrepanza importo in estratto conto,L'estratto conto mensile non corrisponde alle fatture. Chiedo un controllo dettagliato.,Amministrazione,media
277,Mancato rimborso spese gennaio,La fattura numero 1189 riporta un importo errato di 670 euro invece di 250. Chiedo rettifica.,Amministrazione,media
278,Chiarimento su nota credito,L'estratto conto mensile non corrisponde alle fatture. Chiedo un controllo dettagliato.,Amministrazione,bassa
279,PC lento e instabile,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
280,Perdita dati su drive condiviso,Il portale restituisce errore 403. Ho provato con più browser ma la situazione non cambia.,Tecnico,alta
281,Fattura duplicata maggio,La fattura 1071 risulta emessa due volte nel portale. Chiedo la cancellazione del duplicato.,Amministrazione,media
282,Impossibile accedere al portale interno,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,bassa
283,Perdita dati su drive condiviso,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
284,VPN aziendale non funzionante,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,alta
285,Sollecito pagamento arretrato,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
286,Domanda su condizioni di fornitura,Vorrei capire i vantaggi del piano Enterprise rispetto all'abbonamento Standard attuale.,Commerciale,bassa
287,Errore critico all'avvio dell'applicazione,La VPN non si connette: errore timeout. Ho già riavviato il computer ma il problema persiste.,Tecnico,alta
288,Sollecito pagamento arretrato,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
289,Aggiornamento dati fiscali azienda,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
290,Email non inviate: errore SMTP,Alcuni file sul drive condiviso sono scomparsi. È urgente il ripristino dei dati.,Tecnico,alta
291,Impossibile accedere al portale interno,Lo scanner non viene riconosciuto dopo la sostituzione del cavo USB. Ho reinstallato i driver.,Tecnico,bassa
292,PC lento e instabile,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
293,Errore importo su fattura n. 1145,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
294,Sistema bloccato dopo aggiornamento,Il laptop va in schermata blu ogni ora. Temo ci sia un driver corrotto o un problema hardware.,Tecnico,alta
295,Scadenza pagamento non ricevuta,I dati fiscali sono cambiati. Allego il nuovo modello di registrazione per l'aggiornamento.,Amministrazione,bassa
296,Richiesta catalogo prodotti aggiornato,L'ordine 1131 risulta ancora in lavorazione. A quando è prevista la spedizione?,Commerciale,media
297,Chiarimento su nota credito,Riscontro una nota credito non applicata sull'ultima fattura. Chiedo verifica e storno corretto.,Amministrazione,media
298,Interesse per piano Enterprise,Vorrei ricevere il catalogo aggiornato con i nuovi prodotti del secondo semestre.,Commerciale,bassa
299,Perdita dati su drive condiviso,Le email non vengono inviate: errore 'Connessione SMTP rifiutata'. Riguarda tutti gli utenti.,Tecnico,alta
300,Email non inviate: errore SMTP,All'avvio ricevo 'Errore critico: database non raggiungibile'. Il servizio è fermo da stamattina.,Tecnico,alta
